id_dest,demographic,weighted_dist,demo_pop,avg_dist
Bogan Park Community Recreation Center,asian,1481056.186307172,314,4716.739446838127
Bogan Park Community Recreation Center,black,171298049.7853948,31582,5423.913931524121
Bogan Park Community Recreation Center,hispanic,45361819.45011665,9133,4966.803837744076
Bogan Park Community Recreation Center,native,50929740.84156375,9742,5227.8526833877795
Bogan Park Community Recreation Center,population,300085874.026517,57314,5235.821510041473
Bogan Park Community Recreation Center,white,273242480.82001275,52162,5238.343637514144
Dacula Park Activity Building,asian,952977.7240730515,220,4331.71692760478
Dacula Park Activity Building,black,134378971.19513816,26113,5146.056416158165
Dacula Park Activity Building,hispanic,30754407.13921463,6743,4560.938327037614
Dacula Park Activity Building,native,55096695.776752256,12250,4497.689451163449
Dacula Park Activity Building,population,242380608.30453432,49328,4913.651644188581
Dacula Park Activity Building,white,222067665.04745212,45057,4928.5941151752695
Gas South-Hudgens Center for Arts,asian,3454173.139630981,670,5155.482297956688
Gas South-Hudgens Center for Arts,black,118556448.90241621,27566,4300.821624552573
Gas South-Hudgens Center for Arts,hispanic,114266085.28535561,22443,5091.390869552003
Gas South-Hudgens Center for Arts,native,95804385.7331689,21358,4485.644055303348
Gas South-Hudgens Center for Arts,population,418582164.23636276,94409,4433.71039028443
Gas South-Hudgens Center for Arts,white,372304067.3480631,84759,4392.501885912565
George Pierce Park Community Recreation Center,asian,1122197.0130876736,254,4418.098476723124
George Pierce Park Community Recreation Center,black,159933491.09373322,34684,4611.16050898781
George Pierce Park Community Recreation Center,hispanic,39446248.4261129,8138,4847.167415349336
George Pierce Park Community Recreation Center,native,45530592.25301923,10078,4517.820227527211
George Pierce Park Community Recreation Center,population,304564127.5664384,68226,4464.047834644247
George Pierce Park Community Recreation Center,white,278251798.34685487,62640,4442.0785176700965
Gwinnett County Fairgrounds,asian,2704096.3338694093,552,4898.725242517045
Gwinnett County Fairgrounds,black,139763479.14397043,30636,4562.066821516204
Gwinnett County Fairgrounds,hispanic,58238755.66513636,12476,4668.063134429012
Gwinnett County Fairgrounds,native,100329440.85112128,22351,4488.812171765079
Gwinnett County Fairgrounds,population,350236037.52799493,76693,4566.7275700258815
Gwinnett County Fairgrounds,white,319267433.8700026,70040,4558.3585646773645
Gwinnett County fire station - Potential 30,asian,625015.9088109718,128,4882.936787585717
Gwinnett County fire station - Potential 30,black,62326088.04215055,14230,4379.907803383735
Gwinnett County fire station - Potential 30,hispanic,19939521.071103305,4175,4775.933190683426
Gwinnett County fire station - Potential 30,native,60229157.427873485,13804,4363.167011581678
Gwinnett County fire station - Potential 30,population,151120925.1518009,34184,4420.808716118679
Gwinnett County fire station - Potential 30,white,137821688.36313844,31318,4400.718065110749
Lenora Park Gym,asian,1169235.8575970966,237,4933.484631211378
Lenora Park Gym,black,69659855.9388477,13433,5185.725894353287
Lenora Park Gym,hispanic,29770048.423139308,5760,5168.411184572797
Lenora Park Gym,native,143669483.6434688,30601,4694.927735808267
Lenora Park Gym,population,259846826.62919384,53063,4896.949411627572
Lenora Park Gym,white,240764069.78160325,49268,4886.8245064058465
Lucky Shoals Park Community Recreation Center,asian,4565613.568944454,1278,3572.467581333689
Lucky Shoals Park Community Recreation Center,black,42110599.42254497,11797,3569.6023923493235
Lucky Shoals Park Community Recreation Center,hispanic,113703628.5797247,31605,3597.646846376355
Lucky Shoals Park Community Recreation Center,native,46442725.943315685,13842,3355.203434714325
Lucky Shoals Park Community Recreation Center,population,231349194.00226927,65861,3512.6887536215554
Lucky Shoals Park Community Recreation Center,white,201256021.00712195,57368,3508.1582242212025
Mountain Park Activity Building,asian,2107237.9269988756,406,5190.2411995046195
Mountain Park Activity Building,black,114331693.73114501,25823,4427.513988736592
Mountain Park Activity Building,hispanic,47779264.99643352,8618,5544.124506432295
Mountain Park Activity Building,native,72911376.74822633,13979,5215.77915074228
Mountain Park Activity Building,population,280225990.52948946,58340,4803.325171914457
Mountain Park Activity Building,white,255665398.53893784,53566,4772.904427042114
Pinckneyville Park Community Recreation Center,asian,3594774.497986092,796,4516.048364304136
Pinckneyville Park Community Recreation Center,black,139739393.65152186,32579,4289.247480018474
Pinckneyville Park Community Recreation Center,hispanic,107880773.67938735,23850,4523.302879638883
Pinckneyville Park Community Recreation Center,native,97975371.94201852,20990,4667.716624202883
Pinckneyville Park Community Recreation Center,population,398192695.89950716,91503,4351.690063708372
Pinckneyville Park Community Recreation Center,white,355237310.90655845,81897,4337.6107904631235
Rhodes Jordan Park Community Recreation Center,asian,2262771.796748833,609,3715.553032428297
Rhodes Jordan Park Community Recreation Center,black,89934140.73488712,21344,4213.556068913377
Rhodes Jordan Park Community Recreation Center,hispanic,51749229.60892575,13718,3772.359644913672
Rhodes Jordan Park Community Recreation Center,native,72428966.80294374,19830,3652.4945437692254
Rhodes Jordan Park Community Recreation Center,population,241272731.88223574,60563,3983.830587689443
Rhodes Jordan Park Community Recreation Center,white,215310139.79235426,53961,3990.1065545922843
